172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/js/bootstrap-image-gallery.min.js HTTP/1.1" 200 5259 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/js/load-image.min.js HTTP/1.1" 200 1277 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/images/masthead/small-logo.png HTTP/1.1" 200 5574 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/setupTeamForge/index HTTP/1.1" 200 15476 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/css/svnedge-3.3.0.css HTTP/1.1" 200 5334 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/css/bootstrap-responsive-2.3.1.css HTTP/1.1" 200 22108 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/js/application-3.3.0.js HTTP/1.1" 200 7793 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/css/bootstrap-2.3.1.css HTTP/1.1" 200 127307 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/js/jquery-tablesorter.js HTTP/1.1" 200 17343 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/js/bootstrap-2.3.1.js HTTP/1.1" 200 61752 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/masthead/small-logo.png HTTP/1.1" 200 5574 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/masthead/logo.png HTTP/1.1" 200 4086 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/teamforge/two.png HTTP/1.1" 200 2201 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/teamforge/one.png HTTP/1.1" 200 2023 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/teamforge/three.png HTTP/1.1" 200 2272 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/teamforge/teamforge-diagram-small.png HTTP/1.1" 200 58589 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/js/load-image.min.js HTTP/1.1" 200 1277 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/js/bootstrap-image-gallery.min.js HTTP/1.1" 200 5259 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/glyphicons/glyphicons_082_roundabout.png HTTP/1.1" 200 345 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/glyphicons/glyphicons_023_cogwheels.png HTTP/1.1" 200 369 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/glyphicons/glyphicons_214_resize_small.png HTTP/1.1" 200 301 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/glyphicons/glyphicons_042_group.png HTTP/1.1" 200 305 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/glyphicons/glyphicons_079_podium.png HTTP/1.1" 200 213 
172.27.0.1 - - [01/May/2021:12:39:38 +0000] "GET /csvn/static/images/glyphicons/glyphicons_203_lock.png HTTP/1.1" 200 211 
